vehicle_id,model,region,date,cycle,voltage_v,current_a,temperature_c,internal_resistance_ohm,soc_pct,depth_of_discharge_pct,fast_charge_event,ambient_humidity_pct,odometer_km,capacity_pct,nominal_capacity_kwh,rul_cycles,health_status
EV-001,Tata Tigor EV,Hyderabad,2024-01-03,1,344.88,77.72,33.89,0.0793,43.3,69.77,1,46.28,42.3,99.834,50.0,263.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-04,2,352.3,74.38,33.98,0.0763,23.72,69.49,0,47.67,73.3,99.737,50.0,262.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-05,3,346.25,71.05,34.51,0.0829,59.61,32.24,1,80.92,124.4,99.542,50.0,261.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-06,4,347.75,77.31,33.51,0.0834,93.75,35.75,0,48.82,144.5,99.441,50.0,260.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-07,5,344.98,66.73,34.35,0.0783,63.42,39.16,0,76.1,184.3,99.319,50.0,259.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-08,6,346.09,68.28,37.85,0.0836,29.27,86.1,0,68.05,259.6,99.148,50.0,258.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-09,7,347.12,73.8,36.64,0.0813,57.78,37.77,0,72.1,378.1,98.996,50.0,257.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-10,8,344.6,71.65,40.29,0.0832,28.63,32.04,0,68.64,342.9,98.804,50.0,256.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-11,9,343.16,76.48,39.4,0.0831,26.16,48.83,1,47.25,524.2,98.559,50.0,255.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-12,10,345.75,73.07,38.89,0.0857,91.69,50.67,0,44.95,407.0,98.372,50.0,254.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-13,11,339.12,74.09,40.71,0.0832,37.77,37.79,0,55.19,644.3,98.204,50.0,253.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-14,12,342.5,61.98,38.86,0.0801,44.07,48.51,0,41.66,602.9,98.039,50.0,252.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-15,13,341.07,69.49,37.37,0.0845,59.16,94.07,0,50.89,673.4,97.869,50.0,251.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-16,14,343.53,80.37,37.38,0.0863,62.86,35.87,0,77.59,602.3,97.723,50.0,250.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-17,15,341.37,64.68,42.57,0.0871,33.95,74.91,1,57.4,876.3,97.428,50.0,249.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-18,16,338.91,75.35,38.6,0.0842,72.8,83.12,1,64.98,771.9,97.157,50.0,248.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-19,17,336.61,79.16,38.93,0.086,47.94,77.19,0,80.37,972.0,96.963,50.0,247.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-20,18,338.25,77.1,41.0,0.0893,20.74,36.6,1,69.86,632.3,96.718,50.0,246.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-21,19,338.32,66.29,40.29,0.0849,38.98,51.15,0,73.59,973.6,96.518,50.0,245.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-22,20,334.55,67.39,40.94,0.0896,39.52,93.25,0,57.69,1146.0,96.343,50.0,244.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-23,21,333.69,71.81,42.65,0.0892,77.8,48.25,0,41.09,1073.9,96.114,50.0,243.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-24,22,334.37,76.68,40.11,0.0901,50.81,85.32,0,54.26,863.2,95.899,50.0,242.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-25,23,334.64,67.16,41.88,0.0893,99.2,39.11,0,63.32,1309.5,95.682,50.0,241.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-26,24,334.92,68.39,42.3,0.0916,84.81,86.36,0,81.1,1146.8,95.473,50.0,240.0,Healthy
EV-001,Tata Tigor EV,Hyderabad,2024-01-27,25,333.04,73.08,43.49,0.09,47.04,54.41,0,44.23,1236.4,95.225,50.0,239.0,Healthy
